vmstat output:
Run 1: -r 10000 -c 10000 -i r -s n:
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1  29172   4952   4992  35464  237  517   301   523   43  103  0  0 98  1  0
 0  1  85704   6668    220    424 4988 70892  7864 70892  542 1636 16 13  0 72  0
 0  1 129204   3512    220    916 4980 48312  7108 48312  479 1321 10  8  0 81  0
 0  1 162032   2012     44    572 5928 39972  9164 40356  593 1591 17 13  0 70  0
 0  1 204984   2212     44   1116 6140 48628 15244 48628  668 1612 18 15  0 66  0
 2  0 273420   2060     44    412 7180 73916 13212 73916  689 1761 15 14  0 71  0
 2  0 338752   2648     44    344 8512 73848 10812 73848  701 1933 21 12  0 67  0
 0  2 363092   2012     44    388 25656 48176 28392 48176 1269 3494  8 10  0 82  0
End of run 1.
 0  0  22132  52432    936   5332 16652 14804 23252 14804  995 2600  0  6 43 51  0
 0  0  21960  50848    940   6668  264    0  1456     0   76  192  0  0 96  4  0
Run 2: -r 10000 -c 10000 -i r -s r:
 0  1  67300   3656     52    596 2892 48460  4756 48460  387  912  9 10 49 31  0
 0  1 129672   2360     52    544 7636 70392 10700 70416  634 1724 19 12  0 69  0
 2  0 192136   3108     44    320 8248 72512 10468 72512  649 1927 26 14  0 60  0
 2  0 256192   1992     44    628 6844 69500 10964 69500  614 1681 16 10  0 74  0
 2  0 329160   2876     44    440 8644 80644 16064 80644  877 2247 18 15  0 67  0
 0  2 370248   1636     44    480 18508 61964 22336 61964 1029 2896 15  8  0 77  0
 0  1 367332   3252     44    672 39844 33840 42844 33840 1832 5069  2  9  0 88  0
 0  1 366248   1608     44    360 35916 36080 37292 36080 1619 4550  0 10  0 90  0
 0  2 365180   1992     48   1172 32464 29496 35260 29496 1475 4037  3  9  0 88  0
 0  1 362104   2896     44    320 35172 31652 38984 31652 1660 4556  2  7  0 91  0
 0  1 361808   3168     44    280 27652 26688 29328 26688 1294 3588  1  8  0 91  0
 0  1 365048   2380     44    516 35040 38244 36952 38244 1602 4401  1  8  0 91  0
 0  1 365708   2620     44    464 35000 35196 37700 35196 1583 4373  3 10  0 87  0
 0  1 368096   1732     44   2628 34920 36992 38680 36992 1672 4547  2 13  0 85  0
 0  1 372120   3724     44    476 34752 38100 36356 38100 1587 4413  1 11  0 88  0
 2  1 360572   2020     44    368 39540 27504 42080 27504 1811 5032  4  6  0 90  0
 2  1 364988   2312     44    740 33012 37024 35648 37024 1529 4308  1 10  0 89  0
 0  1 372004   2848     44    540 26640 22664 28416 22664 2036 5852  0  5  0 95  0
 0  2 368952   2084     44    304 27032 14936 29540 14936 2096 5946  0  4  0 96  0
End of run 2.
 0  0  30856  42408    956   6188 13528 12056 20440 12056 1582 3886  0  8 23 69  0
 0  0  30824  42376    956   6216    0    0    24     0   13   15  0  0 100  0  0
Run 3: -r 10000 -c 10000 -i r -s c:
 0  1  35116   2636     44    536  632 14292  1988 14292  186  421  8  8 78  6  0
 0  1 106316   1912     44    308 8124 78820 10672 78820  684 1783 22 12  0 66  0
 3  0 148772   2232     44    448 5632 55416 12204 55416  598 1485 15 10  0 76  0
 2  0 214748   2544     44    380 6836 65300 16456 65300  767 1870 17 13  0 70  0
 2  0 274492   2652     44    388 8056 67924 10136 67924  644 1802 18 17  0 65  0
 0  1 352576   2136     44    440 8456 85812 10764 85812  735 1870 21 16  0 63  0
 0  1 364736   1752     84    976 26728 36232 37952 36240 1619 4350  4 16  0 79  0
 0  1 367556   1884     60   1120 20096 22252 22844 22252 1980 5319  4  9  0 87  0
 0  1 362488   1932     84   2600 6344 2772  9728  2772 1913 5182  3  2  0 94  0
 0  1 363836   2052     60    204 6928 8208  8812  8208 2107 5799  2  6  0 92  0
 0  1 362208   2260     60    384 7200 5620  8992  5620 2165 6044  7  5  0 88  0
 0  1 359552   2900     60    292 7280 4588  9180  4588 2180 6078  1  6  0 93  0
 0  1 361600   3280     48    576 6156 8596  8500  8656 1992 5223  7  5  0 88  0
 0  1 361532   1940    636   2468 7324 7084 10156  7088 2267 5896  3  7  0 90  0
 0  1 359884   1772     44    632 6828 5796  8604  5796 2229 5751  5  9  0 86  0
 0  1 358356   1740     44    804 6888 5580  9084  5580 2196 5843  3  6  0 91  0
 0  2 360768   1820     44    188 6812 8400  8928  8400 2251 5780  7  6  0 88  0
 0  1 359816   2076     44    624 7040 5756 10600  5756 2420 5790  5  8  0 87  0
 2  1 360192   1860     48   2080 7112 9052 10232  9052 2360 5869  5  9  0 86  0
 3  1 358056   2108     44    256 5948 4508  7424  4508 2140 5094  2  5  0 93  0
 2  1 358536   2268     44    548 6808 5544  9128  5544 2639 5827  3  8  0 89  0
 0  1 358676   1688     44    408 6864 8000  9336  8000 2560 5891  5  8  0 87  0
 0  1 358868   2268     44    504 6576 5876  9020  5876 2424 5604  4  7  0 89  0
 0  1 361184   2464     44   2452 6724 8864 10700  8864 2669 5631  5  8  0 87  0
 0  1 358832   2116     44    216 7064 4692  8396  4692 2583 5979  3  6  0 91  0
 0  1 359744   1960     44    492 6924 7916 10020  7916 2625 5911  5  7  0 88  0
 1  1 358664   1772     44    380 6632 6536  8684  6536 2636 5704  4  6  0 90  0
 0  1 358148   1708     44    324 6912 8844  9280  8844 2672 5861  4  9  0 87  0
 2  0 360140   2116     44   1600 2952 1460  6828  1460 1271 2724  1  4  0 95  0
 0  1 360020   2992     44    200 6648 6504  7952  6504 2617 5676  4  9  0 87  0
 0  1 360032   2052     44    640 6832 7876  9420  7876 2654 5904  4  8  0 88  0
 0  2 358796   2156     44    388 6656 4948  8440  4948 2534 5655  2  8  0 90  0
 0  1 360252   2736     44    600 6728 7628  9752  7628 2821 5799  7  6  0 88  0
 0  1 358328   1756     44    588 6824 5424 13656  5424 2405 5646  6  7  0 88  0
 0  1 358420   1840     44    536 6804 6720  9404  6720 2972 5878  5  7  0 89  0
 1  1 358560   1808     44    588 6432 7136  9064  7136 2493 5488  2  8  0 90  0
 0  1 359316   2576     44    440 6756 6444  9112  6444 2964 5738  4  9  0 87  0
 0  1 358532   1964     44    292 5624 7656  8884  7656 2351 4872  3  4  0 92  0
 2  1 360000   1796    176   2004 5228 3904  8248  3904 2059 4476  4  3  0 93  0
